======================================================================
TAA-PINN TRAINING
======================================================================

Experiment: AS6
Description: 6cm Axisymmetric TAA — data-driven RANS with physics regularization
Geometry: AS6
Device: cuda
Output directory: experiments/AS6

Non-Newtonian viscosity: Carreau-Yasuda
  mu_inf=0.0035, mu_0=0.16, lambda=8.2, n=0.2128, a=0.64
Optimizer strategy: adaptive weights

----------------------------------------------------------------------
LOADING DATA (non-dimensional)
----------------------------------------------------------------------

  Non-dimensional reference scales:
    L_ref         = 0.0500 m
    U_ref         = 0.4373 m/s  (from max|p|=202.67 Pa)
    P_ref         = 202.67 Pa  (= rho * U_ref^2)
    tau_ref       = 0.030608 Pa  (= mu * U_ref / L_ref)
    Re            = 6621.4
    rho           = 1060.0 kg/m^3
    mu            = 0.003500 Pa.s
    coord_scale   = 1.3254  (normalises coords to [-1,1])
    wss_std       = 18.2155  (standardises WSS to O(1))
    pressure_std  = 0.4828  (standardises pressure to O(1))

Loading systolic: 6cm systolic.csv
Computing wall normals...
Sampling interior collocation points...
  Wall points: 24655
  Interior points: 6000
  Normals computed: torch.Size([24655, 3])
  Phase encoding: 1.0

Loading diastolic: 6cm diastolic.csv
Computing wall normals...
Sampling interior collocation points...
  Wall points: 24655
  Interior points: 6000
  Normals computed: torch.Size([24655, 3])
  Phase encoding: 0.0
  Inlet cross-section: 73 points, radius=10.0 mm
  Outlet cross-section: 73 points, radius=10.0 mm
  Axial direction: X
  Inlet velocity (physical): systolic=0.5 m/s, diastolic=0.1 m/s

Data loading complete!

----------------------------------------------------------------------
INITIALIZING NETWORKS
----------------------------------------------------------------------
  Net_u: 202,497 parameters
  Net_v: 202,497 parameters
  Net_w: 202,497 parameters
  Net_p: 202,497 parameters
  Net_nut: 35,457 parameters
  Total: 845,445 parameters

----------------------------------------------------------------------
INITIALIZING OPTIMIZERS
----------------------------------------------------------------------
Learning rate (flow): 0.0001
Learning rate (nut):  0.001 (10.0x)
Optimizer (flow): AdamW — 809,988 parameters
Optimizer (nut):  AdamW — 35,457 parameters
Scheduler: CosineAnnealingLR
Mixed precision (AMP): disabled

Initialization complete!

======================================================================
STARTING TRAINING
======================================================================
Total epochs: 10000
Evaluate interval: 1000
Save interval: 2500
Early stopping: patience=3000, min_delta=1e-06

Training:   0%|          | 0/10000 [00:00<?, ?epoch/s]/home/olarinoyem/miniconda3/envs/deep_tf/lib/python3.11/site-packages/torch/autograd/graph.py:825: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at ../aten/src/ATen/cuda/CublasHandlePool.cpp:135.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass

Training:   0%|          | 0/10000 [00:01<?, ?epoch/s, loss=1.278e+04, lr=0.0001]
Training:   0%|          | 1/10000 [00:01<4:52:32,  1.76s/epoch, loss=1.278e+04, lr=0.0001]
Training:   0%|          | 1/10000 [00:03<4:52:32,  1.76s/epoch, loss=5944, lr=0.0001]     
Training:   0%|          | 2/10000 [00:03<4:13:11,  1.52s/epoch, loss=5944, lr=0.0001]
Training:   0%|          | 2/10000 [00:04<4:13:11,  1.52s/epoch, loss=4065, lr=0.0001]
Training:   0%|          | 3/10000 [00:04<4:02:54,  1.46s/epoch, loss=4065, lr=0.0001]
Training:   0%|          | 3/10000 [00:05<4:02:54,  1.46s/epoch, loss=3332, lr=0.0001]
Training:   0%|          | 4/10000 [00:05<3:56:33,  1.42s/epoch, loss=3332, lr=0.0001]
Training:   0%|          | 4/10000 [00:07<3:56:33,  1.42s/epoch, loss=2651, lr=0.0001]
Training:   0%|          | 5/10000 [00:07<3:53:33,  1.40s/epoch, loss=2651, lr=0.0001]
Training:   0%|          | 5/10000 [00:08<3:53:33,  1.40s/epoch, loss=2091, lr=0.0001]
Training:   0%|          | 6/10000 [00:08<3:55:51,  1.42s/epoch, loss=2091, lr=0.0001]
Training:   0%|          | 6/10000 [00:09<3:55:51,  1.42s/epoch, loss=1683, lr=0.0001]
Training:   0%|          | 7/10000 [00:10<3:52:49,  1.40s/epoch, loss=1683, lr=0.0001]
Training:   0%|          | 7/10000 [00:11<3:52:49,  1.40s/epoch, loss=1445, lr=0.0001]
Training:   0%|          | 8/10000 [00:11<3:52:08,  1.39s/epoch, loss=1445, lr=0.0001]
Training:   0%|          | 8/10000 [00:12<3:52:08,  1.39s/epoch, loss=1218, lr=0.0001]
Training:   0%|          | 9/10000 [00:12<3:54:49,  1.41s/epoch, loss=1218, lr=0.0001]
Training:   0%|          | 9/10000 [00:14<3:54:49,  1.41s/epoch, loss=1023, lr=0.0001]
Training:   0%|          | 10/10000 [00:14<3:57:22,  1.43s/epoch, loss=1023, lr=0.0001]
Training:   0%|          | 10/10000 [00:15<3:57:22,  1.43s/epoch, loss=887.6, lr=0.0001]
Training:   0%|          | 11/10000 [00:15<3:55:29,  1.41s/epoch, loss=887.6, lr=0.0001]
Training:   0%|          | 11/10000 [00:17<3:55:29,  1.41s/epoch, loss=747.2, lr=0.0001]
Training:   0%|          | 12/10000 [00:17<3:55:50,  1.42s/epoch, loss=747.2, lr=0.0001]
Training:   0%|          | 12/10000 [00:18<3:55:50,  1.42s/epoch, loss=644.9, lr=0.0001]
Training:   0%|          | 13/10000 [00:18<3:55:00,  1.41s/epoch, loss=644.9, lr=0.0001]
Training:   0%|          | 13/10000 [00:19<3:55:00,  1.41s/epoch, loss=578.9, lr=0.0001]
Training:   0%|          | 14/10000 [00:19<3:54:26,  1.41s/epoch, loss=578.9, lr=0.0001]
Training:   0%|          | 14/10000 [00:21<3:54:26,  1.41s/epoch, loss=504.9, lr=0.0001]
Training:   0%|          | 15/10000 [00:21<3:54:00,  1.41s/epoch, loss=504.9, lr=0.0001]
Training:   0%|          | 15/10000 [00:22<3:54:00,  1.41s/epoch, loss=445.8, lr=0.0001]
Training:   0%|          | 16/10000 [00:22<3:54:32,  1.41s/epoch, loss=445.8, lr=0.0001]
Training:   0%|          | 16/10000 [00:24<3:54:32,  1.41s/epoch, loss=392.6, lr=0.0001]
Training:   0%|          | 17/10000 [00:24<3:53:17,  1.40s/epoch, loss=392.6, lr=0.0001]
Training:   0%|          | 17/10000 [00:25<3:53:17,  1.40s/epoch, loss=362.1, lr=0.0001]
Training:   0%|          | 18/10000 [00:25<3:52:40,  1.40s/epoch, loss=362.1, lr=0.0001]
Training:   0%|          | 18/10000 [00:26<3:52:40,  1.40s/epoch, loss=319.1, lr=0.0001]
Training:   0%|          | 19/10000 [00:26<3:53:18,  1.40s/epoch, loss=319.1, lr=0.0001]
Training:   0%|          | 19/10000 [00:28<3:53:18,  1.40s/epoch, loss=299.2, lr=0.0001]
Training:   0%|          | 20/10000 [00:28<3:52:05,  1.40s/epoch, loss=299.2, lr=0.0001]
Training:   0%|          | 20/10000 [00:29<3:52:05,  1.40s/epoch, loss=265.8, lr=0.0001]
Training:   0%|          | 21/10000 [00:29<3:53:40,  1.40s/epoch, loss=265.8, lr=0.0001]
Training:   0%|          | 21/10000 [00:31<3:53:40,  1.40s/epoch, loss=248.2, lr=0.0001]
Training:   0%|          | 22/10000 [00:31<3:53:19,  1.40s/epoch, loss=248.2, lr=0.0001]
Training:   0%|          | 22/10000 [00:32<3:53:19,  1.40s/epoch, loss=225, lr=0.0001]  
Training:   0%|          | 23/10000 [00:32<3:53:52,  1.41s/epoch, loss=225, lr=0.0001]
Training:   0%|          | 23/10000 [00:33<3:53:52,  1.41s/epoch, loss=204.7, lr=0.0001]
Training:   0%|          | 24/10000 [00:33<3:54:32,  1.41s/epoch, loss=204.7, lr=0.0001]
Training:   0%|          | 24/10000 [00:35<3:54:32,  1.41s/epoch, loss=191.5, lr=0.0001]
Training:   0%|          | 25/10000 [00:35<3:53:30,  1.40s/epoch, loss=191.5, lr=0.0001]
Training:   0%|          | 25/10000 [00:36<3:53:30,  1.40s/epoch, loss=176.5, lr=0.0001]
Training:   0%|          | 26/10000 [00:36<3:53:23,  1.40s/epoch, loss=176.5, lr=0.0001]
Training:   0%|          | 26/10000 [00:38<3:53:23,  1.40s/epoch, loss=171.1, lr=0.0001]
Training:   0%|          | 27/10000 [00:38<3:53:00,  1.40s/epoch, loss=171.1, lr=0.0001]
Training:   0%|          | 27/10000 [00:39<3:53:00,  1.40s/epoch, loss=161.7, lr=0.0001]
Training:   0%|          | 28/10000 [00:39<3:52:42,  1.40s/epoch, loss=161.7, lr=0.0001]
Training:   0%|          | 28/10000 [00:40<3:52:42,  1.40s/epoch, loss=143.7, lr=0.0001]
Training:   0%|          | 29/10000 [00:40<3:52:36,  1.40s/epoch, loss=143.7, lr=0.0001]
Training:   0%|          | 29/10000 [00:42<3:52:36,  1.40s/epoch, loss=138, lr=0.0001]  
Training:   0%|          | 30/10000 [00:42<3:52:19,  1.40s/epoch, loss=138, lr=0.0001]
Training:   0%|          | 30/10000 [00:43<3:52:19,  1.40s/epoch, loss=125.5, lr=0.0001]
Training:   0%|          | 31/10000 [00:43<3:51:16,  1.39s/epoch, loss=125.5, lr=0.0001]
Training:   0%|          | 31/10000 [00:45<3:51:16,  1.39s/epoch, loss=119.1, lr=0.0001]
Training:   0%|          | 32/10000 [00:45<3:55:57,  1.42s/epoch, loss=119.1, lr=0.0001]
Training:   0%|          | 32/10000 [00:46<3:55:57,  1.42s/epoch, loss=109.6, lr=0.0001]
Training:   0%|          | 33/10000 [00:46<3:54:49,  1.41s/epoch, loss=109.6, lr=0.0001]
Training:   0%|          | 33/10000 [00:47<3:54:49,  1.41s/epoch, loss=104.2, lr=0.0001]
Training:   0%|          | 34/10000 [00:48<3:53:57,  1.41s/epoch, loss=104.2, lr=0.0001]
Training:   0%|          | 34/10000 [00:49<3:53:57,  1.41s/epoch, loss=96.03, lr=0.0001]
Training:   0%|          | 35/10000 [00:49<3:53:39,  1.41s/epoch, loss=96.03, lr=0.0001]
Training:   0%|          | 35/10000 [00:50<3:53:39,  1.41s/epoch, loss=95.06, lr=0.0001]
Training:   0%|          | 36/10000 [00:50<3:54:28,  1.41s/epoch, loss=95.06, lr=0.0001]
Training:   0%|          | 36/10000 [00:52<3:54:28,  1.41s/epoch, loss=85.65, lr=0.0001]
Training:   0%|          | 37/10000 [00:52<3:56:22,  1.42s/epoch, loss=85.65, lr=0.0001]
Training:   0%|          | 37/10000 [00:53<3:56:22,  1.42s/epoch, loss=82.18, lr=0.0001]
Training:   0%|          | 38/10000 [00:53<3:54:47,  1.41s/epoch, loss=82.18, lr=0.0001]
Training:   0%|          | 38/10000 [00:54<3:54:47,  1.41s/epoch, loss=75.65, lr=0.0001]
Training:   0%|          | 39/10000 [00:55<3:54:00,  1.41s/epoch, loss=75.65, lr=0.0001]
Training:   0%|          | 39/10000 [00:56<3:54:00,  1.41s/epoch, loss=74.93, lr=0.0001]
Training:   0%|          | 40/10000 [00:56<3:52:46,  1.40s/epoch, loss=74.93, lr=0.0001]
Training:   0%|          | 40/10000 [00:57<3:52:46,  1.40s/epoch, loss=70.84, lr=0.0001]
Training:   0%|          | 41/10000 [00:57<3:52:08,  1.40s/epoch, loss=70.84, lr=0.0001]
Training:   0%|          | 41/10000 [00:59<3:52:08,  1.40s/epoch, loss=66.76, lr=0.0001]
Training:   0%|          | 42/10000 [00:59<4:04:23,  1.47s/epoch, loss=66.76, lr=0.0001]
Training:   1%|          | 97/10000 [02:12<3:33:32,  1.29s/epoch, loss=24.85, lr=0.0001]
Training:   1%|          | 97/10000 [02:13<3:33:32,  1.29s/epoch, loss=24.93, lr=0.0001]
Training:   1%|          | 98/10000 [02:13<3:33:02,  1.29s/epoch, loss=24.93, lr=0.0001]
Training:   1%|          | 98/10000 [02:14<3:33:02,  1.29s/epoch, loss=29.26, lr=0.0001]
Training:   1%|          | 99/10000 [02:14<3:34:01,  1.30s/epoch, loss=29.26, lr=0.0001]
Training:   1%|          | 99/10000 [02:16<3:34:01,  1.30s/epoch, loss=22.17, lr=0.0001]
Training:   1%|          | 100/10000 [02:16<3:38:39,  1.33s/epoch, loss=22.17, lr=0.0001]
Training:   1%|          | 100/10000 [02:17<3:38:39,  1.33s/epoch, loss=29.87, lr=0.0001]
Training:   1%|          | 101/10000 [02:17<3:37:24,  1.32s/epoch, loss=29.87, lr=0.0001]
Training:   1%|          | 101/10000 [02:18<3:37:24,  1.32s/epoch, loss=24.07, lr=0.0001]
Training:   1%|          | 102/10000 [02:18<3:35:42,  1.31s/epoch, loss=24.07, lr=0.0001]
Training:   1%|          | 102/10000 [02:20<3:35:42,  1.31s/epoch, loss=28.59, lr=0.0001]
Training:   1%|          | 103/10000 [02:20<3:34:50,  1.30s/epoch, loss=28.59, lr=0.0001]
Training:   1%|          | 103/10000 [02:21<3:34:50,  1.30s/epoch, loss=22.41, lr=0.0001]
Training:   1%|          | 104/10000 [02:21<3:33:44,  1.30s/epoch, loss=22.41, lr=0.0001]
Training:   1%|          | 104/10000 [02:22<3:33:44,  1.30s/epoch, loss=28, lr=0.0001]   
Training:   1%|          | 105/10000 [02:22<3:33:47,  1.30s/epoch, loss=28, lr=0.0001]
Training:   1%|          | 105/10000 [02:23<3:33:47,  1.30s/epoch, loss=23.03, lr=0.0001]
Training:   1%|          | 106/10000 [02:23<3:33:11,  1.29s/epoch, loss=23.03, lr=0.0001]
Training:   1%|          | 106/10000 [02:25<3:33:11,  1.29s/epoch, loss=26.32, lr=0.0001]
Training:   1%|          | 107/10000 [02:25<3:32:30,  1.29s/epoch, loss=26.32, lr=0.0001]
Training:   1%|          | 107/10000 [02:26<3:32:30,  1.29s/epoch, loss=21.38, lr=0.0001]
Training:   1%|          | 108/10000 [02:26<3:37:47,  1.32s/epoch, loss=21.38, lr=0.0001]
Training:   1%|          | 108/10000 [02:27<3:37:47,  1.32s/epoch, loss=29.01, lr=0.0001]
Training:   1%|          | 109/10000 [02:27<3:36:01,  1.31s/epoch, loss=29.01, lr=0.0001]
Training:   1%|          | 109/10000 [02:29<3:36:01,  1.31s/epoch, loss=22.89, lr=0.0001]
Training:   1%|          | 110/10000 [02:29<3:34:52,  1.30s/epoch, loss=22.89, lr=0.0001]
Training:   1%|          | 110/10000 [02:30<3:34:52,  1.30s/epoch, loss=31.29, lr=0.0001]
Training:   1%|          | 111/10000 [02:30<3:34:22,  1.30s/epoch, loss=31.29, lr=0.0001]
Training:   1%|          | 111/10000 [02:31<3:34:22,  1.30s/epoch, loss=26.59, lr=0.0001]
Training:   1%|          | 112/10000 [02:31<3:33:31,  1.30s/epoch, loss=26.59, lr=0.0001]
Training:   1%|          | 112/10000 [02:33<3:33:31,  1.30s/epoch, loss=26.76, lr=0.0001]
Training:   1%|          | 113/10000 [02:33<3:32:42,  1.29s/epoch, loss=26.76, lr=0.0001]
Training:   1%|          | 113/10000 [02:34<3:32:42,  1.29s/epoch, loss=25.18, lr=0.0001]
Training:   1%|          | 114/10000 [02:34<3:31:43,  1.29s/epoch, loss=25.18, lr=0.0001]
Training:   1%|          | 114/10000 [02:35<3:31:43,  1.29s/epoch, loss=22.05, lr=0.0001]
Training:   1%|          | 115/10000 [02:35<3:30:40,  1.28s/epoch, loss=22.05, lr=0.0001]
Training:   1%|          | 115/10000 [02:36<3:30:40,  1.28s/epoch, loss=23.03, lr=0.0001]
Training:   1%|          | 116/10000 [02:36<3:31:22,  1.28s/epoch, loss=23.03, lr=0.0001]
Training:   1%|          | 116/10000 [02:38<3:31:22,  1.28s/epoch, loss=21.42, lr=0.0001]
Training:   1%|          | 117/10000 [02:38<3:30:51,  1.28s/epoch, loss=21.42, lr=0.0001]
Training:   1%|          | 117/10000 [02:39<3:30:51,  1.28s/epoch, loss=23.58, lr=0.0001]
Training:   1%|          | 118/10000 [02:39<3:30:32,  1.28s/epoch, loss=23.58, lr=0.0001]
Training:   1%|          | 118/10000 [02:40<3:30:32,  1.28s/epoch, loss=21.05, lr=0.0001]
Training:   1%|          | 119/10000 [02:40<3:37:12,  1.32s/epoch, loss=21.05, lr=0.0001]
Training:   1%|          | 119/10000 [02:42<3:37:12,  1.32s/epoch, loss=23.54, lr=0.0001]
Training:   1%|          | 120/10000 [02:42<3:37:13,  1.32s/epoch, loss=23.54, lr=0.0001]
Training:   1%|          | 120/10000 [02:43<3:37:13,  1.32s/epoch, loss=19.31, lr=0.0001]
Training:   1%|          | 121/10000 [02:43<3:42:11,  1.35s/epoch, loss=19.31, lr=0.0001]
Training:   1%|          | 121/10000 [02:44<3:42:11,  1.35s/epoch, loss=25.25, lr=0.0001]
Training:   1%|          | 122/10000 [02:44<3:40:22,  1.34s/epoch, loss=25.25, lr=0.0001]
Training:   1%|          | 122/10000 [02:46<3:40:22,  1.34s/epoch, loss=19.7, lr=0.0001] 
Training:   1%|          | 123/10000 [02:46<3:38:33,  1.33s/epoch, loss=19.7, lr=0.0001]
Training:   1%|          | 123/10000 [02:47<3:38:33,  1.33s/epoch, loss=25.25, lr=0.0001]
Training:   1%|          | 124/10000 [02:47<3:36:56,  1.32s/epoch, loss=25.25, lr=0.0001]
Training:   1%|          | 124/10000 [02:48<3:36:56,  1.32s/epoch, loss=21.71, lr=0.0001]
Training:   1%|▏         | 125/10000 [02:48<3:35:42,  1.31s/epoch, loss=21.71, lr=0.0001]
Training:   1%|▏         | 125/10000 [02:50<3:35:42,  1.31s/epoch, loss=19.98, lr=0.0001]
Training:   1%|▏         | 126/10000 [02:50<3:35:31,  1.31s/epoch, loss=19.98, lr=0.0001]
Training:   1%|▏         | 126/10000 [02:51<3:35:31,  1.31s/epoch, loss=20.29, lr=0.0001]
Training:   1%|▏         | 127/10000 [02:51<3:34:57,  1.31s/epoch, loss=20.29, lr=0.0001]
Training:   1%|▏         | 127/10000 [02:52<3:34:57,  1.31s/epoch, loss=18.82, lr=0.0001]
Training:   1%|▏         | 128/10000 [02:52<3:41:24,  1.35s/epoch, loss=18.82, lr=0.0001]
Training:   1%|▏         | 128/10000 [02:54<3:41:24,  1.35s/epoch, loss=19.56, lr=0.0001]
Training:   1%|▏         | 129/10000 [02:54<3:41:28,  1.35s/epoch, loss=19.56, lr=0.0001]
Training:   1%|▏         | 129/10000 [02:55<3:41:28,  1.35s/epoch, loss=17.45, lr=0.0001]
Training:   1%|▏         | 130/10000 [02:55<3:43:54,  1.36s/epoch, loss=17.45, lr=0.0001]
Training:   1%|▏         | 130/10000 [02:56<3:43:54,  1.36s/epoch, loss=18.75, lr=0.0001]
Training:   1%|▏         | 131/10000 [02:56<3:40:20,  1.34s/epoch, loss=18.75, lr=0.0001]
Training:   1%|▏         | 131/10000 [02:58<3:40:20,  1.34s/epoch, loss=17.09, lr=0.0001]
Training:   1%|▏         | 132/10000 [02:58<3:44:09,  1.36s/epoch, loss=17.09, lr=0.0001]
Training:   1%|▏         | 132/10000 [02:59<3:44:09,  1.36s/epoch, loss=19.21, lr=0.0001]
Training:   1%|▏         | 133/10000 [02:59<3:41:29,  1.35s/epoch, loss=19.21, lr=0.0001]
Training:   1%|▏         | 133/10000 [03:00<3:41:29,  1.35s/epoch, loss=16.12, lr=0.0001]
Training:   1%|▏         | 134/10000 [03:00<3:46:12,  1.38s/epoch, loss=16.12, lr=0.0001]
Training:   1%|▏         | 134/10000 [03:02<3:46:12,  1.38s/epoch, loss=25.84, lr=0.0001]
Training:   1%|▏         | 135/10000 [03:02<3:42:35,  1.35s/epoch, loss=25.84, lr=0.0001]
Training:   1%|▏         | 135/10000 [03:03<3:42:35,  1.35s/epoch, loss=20.42, lr=0.0001]
Training:   1%|▏         | 136/10000 [03:03<3:39:04,  1.33s/epoch, loss=20.42, lr=0.0001]
Training:   1%|▏         | 136/10000 [03:04<3:39:04,  1.33s/epoch, loss=20.96, lr=0.0001]
Training:   1%|▏         | 137/10000 [03:04<3:37:03,  1.32s/epoch, loss=20.96, lr=0.0001]
Training:   1%|▏         | 137/10000 [03:06<3:37:03,  1.32s/epoch, loss=22.09, lr=0.0001]
Training:   1%|▏         | 138/10000 [03:06<3:35:08,  1.31s/epoch, loss=22.09, lr=0.0001]
Training:   1%|▏         | 138/10000 [03:07<3:35:08,  1.31s/epoch, loss=17.23, lr=0.0001]
Training:   1%|▏         | 139/10000 [03:07<3:33:20,  1.30s/epoch, loss=17.23, lr=0.0001]
Training:   1%|▏         | 139/10000 [03:08<3:33:20,  1.30s/epoch, loss=17.89, lr=0.0001]
Training:   1%|▏         | 140/10000 [03:08<3:32:28,  1.29s/epoch, loss=17.89, lr=0.0001]
Training:   1%|▏         | 140/10000 [03:09<3:32:28,  1.29s/epoch, loss=16.25, lr=0.0001]
Training:   1%|▏         | 141/10000 [03:09<3:32:14,  1.29s/epoch, loss=16.25, lr=0.0001]
Training:   1%|▏         | 141/10000 [03:11<3:32:14,  1.29s/epoch, loss=16.16, lr=0.0001]
Training:   1%|▏         | 142/10000 [03:11<3:31:37,  1.29s/epoch, loss=16.16, lr=0.0001]
Training:   1%|▏         | 142/10000 [03:12<3:31:37,  1.29s/epoch, loss=22.76, lr=0.0001]
Training:   1%|▏         | 143/10000 [03:12<3:31:27,  1.29s/epoch, loss=22.76, lr=0.0001]
Training:   1%|▏         | 143/10000 [03:13<3:31:27,  1.29s/epoch, loss=16.45, lr=0.0001]
Training:   1%|▏         | 144/10000 [03:13<3:30:44,  1.28s/epoch, loss=16.45, lr=0.0001]
Training:   1%|▏         | 144/10000 [03:15<3:30:44,  1.28s/epoch, loss=17.89, lr=0.0001]
Training:   1%|▏         | 145/10000 [03:15<3:29:54,  1.28s/epoch, loss=17.89, lr=0.0001]
Training:   1%|▏         | 145/10000 [03:16<3:29:54,  1.28s/epoch, loss=19.2, lr=0.0001] 
Training:   1%|▏         | 146/10000 [03:16<3:29:50,  1.28s/epoch, loss=19.2, lr=0.0001]
Training:   1%|▏         | 146/10000 [03:17<3:29:50,  1.28s/epoch, loss=13.98, lr=0.0001]
Training:   1%|▏         | 147/10000 [03:17<3:36:29,  1.32s/epoch, loss=13.98, lr=0.0001]
Training:   1%|▏         | 147/10000 [03:19<3:36:29,  1.32s/epoch, loss=15.91, lr=0.0001]
Training:   1%|▏         | 148/10000 [03:19<3:35:15,  1.31s/epoch, loss=15.91, lr=0.0001]
Training:   1%|▏         | 148/10000 [03:20<3:35:15,  1.31s/epoch, loss=15.51, lr=0.0001]
Training:   1%|▏         | 149/10000 [03:20<3:33:42,  1.30s/epoch, loss=15.51, lr=0.0001]
Training:   1%|▏         | 149/10000 [03:21<3:33:42,  1.30s/epoch, loss=14.52, lr=0.0001]
Training:   2%|▏         | 150/10000 [03:21<3:32:57,  1.30s/epoch, loss=14.52, lr=0.0001]
Training:   2%|▏         | 150/10000 [03:22<3:32:57,  1.30s/epoch, loss=17.33, lr=0.0001]
Training:   2%|▏         | 151/10000 [03:22<3:31:53,  1.29s/epoch, loss=17.33, lr=0.0001]
Training:   2%|▏         | 151/10000 [03:24<3:31:53,  1.29s/epoch, loss=14.71, lr=0.0001]
Training:   2%|▏         | 152/10000 [03:24<3:30:47,  1.28s/epoch, loss=14.71, lr=0.0001]
Training:   2%|▏         | 152/10000 [03:25<3:30:47,  1.28s/epoch, loss=14.65, lr=0.0001]
Training:   2%|▏         | 153/10000 [03:25<3:29:56,  1.28s/epoch, loss=14.65, lr=0.0001]
Training:   2%|▏         | 153/10000 [03:26<3:29:56,  1.28s/epoch, loss=15.65, lr=0.0001]
Training:   2%|▏         | 154/10000 [03:26<3:28:57,  1.27s/epoch, loss=15.65, lr=0.0001]
Training:   2%|▏         | 154/10000 [03:27<3:28:57,  1.27s/epoch, loss=13.95, lr=0.0001]
Training:   2%|▏         | 155/10000 [03:28<3:34:09,  1.31s/epoch, loss=13.95, lr=0.0001]
Training:   2%|▏         | 155/10000 [03:29<3:34:09,  1.31s/epoch, loss=14.52, lr=0.0001]
Training:   2%|▏         | 156/10000 [03:29<3:32:32,  1.30s/epoch, loss=14.52, lr=0.0001]
Training:   2%|▏         | 156/10000 [03:30<3:32:32,  1.30s/epoch, loss=18.55, lr=0.0001]
Training:   2%|▏         | 157/10000 [03:30<3:30:52,  1.29s/epoch, loss=18.55, lr=0.0001]
Training:   2%|▏         | 157/10000 [03:31<3:30:52,  1.29s/epoch, loss=13.46, lr=0.0001]
Training:   2%|▏         | 158/10000 [03:32<3:36:17,  1.32s/epoch, loss=13.46, lr=0.0001]
Training:   2%|▏         | 158/10000 [03:33<3:36:17,  1.32s/epoch, loss=17, lr=0.0001]   
Training:   2%|▏         | 159/10000 [03:33<3:33:26,  1.30s/epoch, loss=17, lr=0.0001]
Training:   2%|▏         | 159/10000 [03:34<3:33:26,  1.30s/epoch, loss=19.77, lr=0.0001]
Training:   2%|▏         | 160/10000 [03:34<3:32:45,  1.30s/epoch, loss=19.77, lr=0.0001]
Training:   2%|▏         | 160/10000 [03:35<3:32:45,  1.30s/epoch, loss=13.65, lr=0.0001]
Training:   2%|▏         | 161/10000 [03:35<3:30:54,  1.29s/epoch, loss=13.65, lr=0.0001]
Training:   2%|▏         | 161/10000 [03:37<3:30:54,  1.29s/epoch, loss=14.87, lr=0.0001]
Training:   2%|▏         | 162/10000 [03:37<3:29:33,  1.28s/epoch, loss=14.87, lr=0.0001]
Training:   2%|▏         | 162/10000 [03:38<3:29:33,  1.28s/epoch, loss=15.78, lr=0.0001]
Training:   2%|▏         | 163/10000 [03:38<3:28:42,  1.27s/epoch, loss=15.78, lr=0.0001]
Training:   2%|▏         | 163/10000 [03:39<3:28:42,  1.27s/epoch, loss=15.33, lr=0.0001]
Training:   2%|▏         | 164/10000 [03:39<3:29:07,  1.28s/epoch, loss=15.33, lr=0.0001]
Training:   2%|▏         | 164/10000 [03:40<3:29:07,  1.28s/epoch, loss=13.84, lr=0.0001]
Training:   2%|▏         | 165/10000 [03:40<3:29:20,  1.28s/epoch, loss=13.84, lr=0.0001]
Training:   2%|▏         | 165/10000 [03:42<3:29:20,  1.28s/epoch, loss=16.59, lr=0.0001]
Training:   2%|▏         | 166/10000 [03:42<3:29:35,  1.28s/epoch, loss=16.59, lr=0.0001]
Training:   2%|▏         | 166/10000 [03:43<3:29:35,  1.28s/epoch, loss=16.47, lr=0.0001]
Training:   2%|▏         | 167/10000 [03:43<3:30:32,  1.28s/epoch, loss=16.47, lr=0.0001]
Training:   2%|▏         | 167/10000 [03:44<3:30:32,  1.28s/epoch, loss=13.1, lr=0.0001] 
Training:   2%|▏         | 168/10000 [03:44<3:35:43,  1.32s/epoch, loss=13.1, lr=0.0001]
Training:   2%|▏         | 168/10000 [03:46<3:35:43,  1.32s/epoch, loss=14.57, lr=0.0001]
Training:   2%|▏         | 169/10000 [03:46<3:33:46,  1.30s/epoch, loss=14.57, lr=0.0001]
Training:   2%|▏         | 169/10000 [03:47<3:33:46,  1.30s/epoch, loss=15.86, lr=0.0001]
Training:   2%|▏         | 170/10000 [03:47<3:32:16,  1.30s/epoch, loss=15.86, lr=0.0001]
Training:   2%|▏         | 170/10000 [03:48<3:32:16,  1.30s/epoch, loss=14.25, lr=0.0001]
Training:   2%|▏         | 171/10000 [03:48<3:32:11,  1.30s/epoch, loss=14.25, lr=0.0001]
Training:   2%|▏         | 171/10000 [03:50<3:32:11,  1.30s/epoch, loss=13.47, lr=0.0001]
Training:   2%|▏         | 172/10000 [03:50<3:31:41,  1.29s/epoch, loss=13.47, lr=0.0001]
Training:   2%|▏         | 172/10000 [03:51<3:31:41,  1.29s/epoch, loss=11.85, lr=0.0001]
Training:   2%|▏         | 173/10000 [03:51<3:38:07,  1.33s/epoch, loss=11.85, lr=0.0001]
Training:   2%|▏         | 173/10000 [03:52<3:38:07,  1.33s/epoch, loss=13.21, lr=0.0001]
Training:   2%|▏         | 174/10000 [03:52<3:35:33,  1.32s/epoch, loss=13.21, lr=0.0001]
Training:   2%|▏         | 174/10000 [03:54<3:35:33,  1.32s/epoch, loss=12.88, lr=0.0001]
